,Ticker,Industry,Sector
221,PRX.JO,Internet Content & Information,Communication Services
222,PSG.JO,Conglomerates,Industrials
223,KST.JO,Asset Management,Financial Services
224,PSV.JO,Specialty Industrial Machinery,Industrials
225,PPE.JO,Financial Conglomerates,Financial Services
226,PPR.JO,Real Estate Services,Real Estate
227,QFH.JO,Farm Products,Consumer Defensive
228,QLT.JO,Asset Management,Financial Services
229,RMI.JO,Insurance—Diversified,Financial Services
230,RNG.JO,Gold,Basic Materials
231,RBX.JO,Engineering & Construction,Industrials
232,RAV.JO,Real Estate Services,Real Estate
233,RCL.JO,Packaged Foods,Consumer Defensive
234,REB.JO,REIT—Diversified,Real Estate
235,REA.JO,REIT—Diversified,Real Estate
236,RDF.JO,REIT—Diversified,Real Estate
237,RNI.JO,Asset Management,Financial Services
238,REM.JO,Asset Management,Financial Services
239,REN.JO,Asset Management,Financial Services
240,RES.JO,REIT—Retail,Real Estate
241,RSG.JO,Thermal Coal,Energy
242,RLO.JO,Electrical Equipment & Parts,Industrials
243,RTN.JO,Apparel Retail,Consumer Cyclical
244,RTO.JO,Apparel Retail,Consumer Cyclical
245,RFG.JO,Packaged Foods,Consumer Defensive
246,RHB.JO,Medical Care Facilities,Healthcare
247,RMH.JO,Banks—Regional,Financial Services
248,RBP.JO,Other Precious Metals & Mining,Basic Materials
249,SAC.JO,REIT—Diversified,Real Estate
250,SZK.JO,Shell Companies,Financial Services
251,SBP.JO,Asset Management,Financial Services
252,SAR.JO,REIT—Diversified,Real Estate
253,SLM.JO,Insurance—Life,Financial Services
254,SNT.JO,Insurance—Specialty,Financial Services
255,SNV.JO,Integrated Freight & Logistics,Industrials
256,SAP.JO,Paper & Paper Products,Basic Materials
257,SFN.JO,Banks—Regional,Financial Services
258,SOL.JO,Oil & Gas Integrated,Energy
259,SCD.JO,REIT—Specialty,Real Estate
260,SHG.JO,Farm Products,Consumer Defensive
261,SEB.JO,Software—Application,Technology
262,SEP.JO,Building Materials,Basic Materials
263,SHP.JO,Department Stores,Consumer Cyclical
264,SSW.JO,Gold,Basic Materials
265,SVB.JO,Software—Application,Technology
266,SRE.JO,Real Estate Services,Real Estate
267,SOH.JO,Electrical Equipment & Parts,Industrials
268,S32.JO,Other Industrial Metals & Mining,Basic Materials
269,SPA.JO,Specialty Chemicals,Basic Materials
270,SEA.JO,,
271,SUR.JO,Restaurants,Consumer Cyclical
272,SDO.JO,Education & Training Services,Consumer Defensive
273,SBK.JO,Banks—Regional,Financial Services
274,SSK.JO,Engineering & Construction,Industrials
275,SNH.JO,Specialty Retail,Consumer Cyclical
276,SCP.JO,Asset Management,Financial Services
277,STP.JO,REIT—Industrial,Real Estate
278,SSS.JO,REIT—Industrial,Real Estate
279,SUI.JO,Resorts & Casinos,Consumer Cyclical
280,SPG.JO,Integrated Freight & Logistics,Industrials
281,SYG.JO,Financial Conglomerates,Financial Services
282,TLM.JO,Telecom Services,Communication Services
283,TKG.JO,Telecom Services,Communication Services
284,TXT.JO,Rental & Leasing Services,Industrials
285,TEX.JO,REIT—Office,Real Estate
286,THA.JO,Other Precious Metals & Mining,Basic Materials
287,TFG.JO,Specialty Retail,Consumer Cyclical
288,SPP.JO,Food Distribution,Consumer Defensive
289,TGA.JO,Thermal Coal,Energy
290,TBS.JO,Packaged Foods,Consumer Defensive
291,TON.JO,Confectioners,Consumer Defensive
292,TWR.JO,REIT—Diversified,Real Estate
293,TDH.JO,Real Estate Services,Real Estate
294,TCP.JO,Credit Services,Financial Services
295,TPF.JO,REIT—Residential,Real Estate
296,TPC.JO,Packaging & Containers,Consumer Cyclical
297,TRL.JO,Security & Protection Services,Industrials
298,TMT.JO,Real Estate Services,Real Estate
299,TRE.JO,Marine Shipping,Industrials
300,TTO.JO,Insurance—Diversified,Financial Services
301,TRU.JO,Apparel Retail,Consumer Cyclical
302,TSG.JO,Resorts & Casinos,Consumer Cyclical
303,TGO.JO,Lodging,Consumer Cyclical
304,UPL.JO,Asset Management,Financial Services
305,VIS.JO,Real Estate Services,Real Estate
306,VVO.JO,Oil & Gas Refining & Marketing,Energy
307,VOD.JO,Telecom Services,Communication Services
308,VKE.JO,REIT—Diversified,Real Estate
309,VUN.JO,Capital Markets,Financial Services
310,WSL.JO,Thermal Coal,Energy
311,WEZ.JO,Other Industrial Metals & Mining,Basic Materials
312,WBO.JO,Engineering & Construction,Industrials
313,WHL.JO,Department Stores,Consumer Cyclical
314,WKF.JO,Staffing & Employment Services,Industrials
315,YYLBEE.JO,Telecom Services,Communication Services
316,YRK.JO,Lumber & Wood Production,Basic Materials
317,ZCL.JO,Asset Management,Financial Services
318,ZED.JO,Asset Management,Financial Services
