,Ticker,Industry,Sector
0,SYG.JO,,
1,ETFSAP.JO,,
2,STXGOV.JO,,
3,GIVISA.JO,,
4,STXQUA.JO,,
5,SYG4IR.JO,,
6,ETFSWX.JO,,
7,NFGOVI.JO,,
8,NFTRCI.JO,,
9,SYG500.JO,,
10,SYGUS.JO,,
11,CSPROP.JO,,
12,SYGEMF.JO,,
13,SYGP.JO,,
