asOfDate,symbol,Sector,DilutedEPS,ROA,ROE,P/B Ratio,P/S Ratio,Net Profit Margin,Gross Profit Margin,Operating Margin,LTDTA Ratio,Quick Ratio,Cash Ratio,Enterprise Multiple,Operating Cash Flow Ratio,PE_Ratio,DE_Ratio,log re,price
2017-12-31,4SI.JO,Communication Services,0.0049,3.4268501778178284,4.560973977579667,17.733935880777658,59.32607923264657,15.291346574386608,78.4480240248662,19.069904481458853,0.0,1.6799409811961237,0.5062953390801598,388.3411846745365,-291.93877878598204,57.14285714285715,0.3338595439741754,4.941642422609304,140.0
2018-03-31,4SI.JO,Communication Services,0.0055833176956276,-2.990406342273287,-4.655420346338909,12.364654374413568,40.35446400429358,5.765786453122073,73.64891570956425,9.672000592227675,0.0,1.4717810111004772,0.4045874717728341,192.63798233947787,-142.23944773793957,-9.973549502001728,0.3815128658847189,4.48863636973214,89.0
2018-06-30,4SI.JO,Communication Services,0.0046051829611559,-5.476973946440838,-8.158783879920218,8.27714315045097,24.77730624427508,0.4195128898500018,69.67134585014516,4.421136035922281,0.0,1.310035002604974,0.3252174974631235,36.57677363654892,-17.276058784251347,-60.92550145890167,0.4204089033730182,3.6635616461296463,39.0
2018-09-30,4SI.JO,Communication Services,0.0019102683430287,-3.900189924204828,-5.756339766643364,5.515869467424858,12.714117108163247,-0.605425735930309,66.54431539296063,3.4582432043852167,0.0,1.1963182104109444,0.2689633602530881,-78.45625998702131,82.07627421889856,-95.15243985912772,0.4502398078497871,3.6635616461296463,39.0
2018-12-31,4SI.JO,Communication Services,-0.0025,1.7896240669057564,2.6228930411133065,4.133243682714344,4.356211564589516,2.7736557265019672,64.31642050325031,6.8647707558350834,0.0,1.1326802306420058,0.2368283398190059,-150.51259115877374,154.29687213507952,-112.0,0.470526278408168,3.8501476017100575,47.0
2019-03-31,4SI.JO,Communication Services,-0.0084742165509476,11.335627763914063,16.60327430954606,4.114692736329855,-0.2346657130455898,10.340730281251531,63.00698650169227,14.42521511579111,0.0,1.1188833262557445,0.2287302298474623,-179.41703693166158,198.6940413675587,-111.66454277201272,0.4811362810584276,2.833213344056216,17.0
2019-06-30,4SI.JO,Communication Services,-0.0161838581347344,24.989689934813704,36.55442831934219,5.437364634124412,-1.271299545115995,22.27700955706038,62.5578651150587,26.321124900330545,0.0,1.15365997308862,0.2440101212883759,-166.82616955506225,217.18524448551065,-94.41516570192374,0.4825774068502178,2.995732273553991,20.0
2019-09-30,4SI.JO,Communication Services,-0.0256842522049164,42.884473290084685,62.66913192702264,8.145726634633007,1.3658212239504763,38.724541933427815,62.99805728970129,42.693432501295966,0.0,1.238625425841963,0.2834459582438067,-111.35380758174676,208.8953676327513,-59.69130992101815,0.4745418071942521,3.4657359027997265,32.0
2019-12-31,4SI.JO,Communication Services,-0.0369,64.89228661423023,94.76062422918288,12.232736533457198,7.708225585555037,59.57609439800784,64.3373850318181,63.435160485248296,0.0,1.3736696910203956,0.3470009119751907,-12.90474315661345,173.47375569302312,-7.588075880758808,0.4569617736198984,3.1354942159291497,23.0
2017-12-31,ACL.JO,Basic Materials,-4.69,16.438004872419537,63.63862000496401,0.5319629578555473,0.109849764604582,13.141304904925429,37.427604940802624,3.126441494541541,0.0865495576355943,0.3811829816672432,0.1809062608094085,-3.0398405366085584,-2.8238191794466405,-0.2046908315565032,2.8714321171506576,5.579729825986222,265.0
